EmployeeID,Age,Department,JobRole,Attrition,MonthlyIncome,YearsAtCompany,JobSatisfaction,PerformanceRating,PercentSalaryHike,DistanceFromHome,MaritalStatus
1001,50,Research & Development,Data Scientist,No,8415,19,1,4,16,20,Married
1002,36,Research & Development,Data Scientist,No,6391,19,3,4,21,21,Married
1003,29,Sales,Data Scientist,No,14157,17,1,4,22,18,Married
1004,42,Sales,Sales Exec,No,14835,13,3,4,18,24,Married
1005,40,Sales,Software Engineer,No,8951,16,4,3,22,27,Single
1006,44,Research & Development,HR Manager,Yes,8468,8,4,3,12,11,Single
1007,32,Research & Development,Data Scientist,No,11007,19,2,3,19,2,Married
1008,32,Sales,Lab Technician,No,12064,18,3,3,12,25,Single
1009,45,Research & Development,Data Scientist,No,12444,1,3,3,16,18,Married
1010,57,Research & Development,Lab Technician,No,9413,14,1,3,23,29,Divorced
1011,45,Human Resources,Sales Exec,No,9941,19,2,3,13,25,Divorced
1012,24,Research & Development,Lab Technician,No,12506,15,3,3,22,7,Divorced
1013,43,Research & Development,HR Manager,No,7820,18,2,3,17,24,Married
1014,23,Human Resources,Software Engineer,No,5898,2,4,3,22,15,Divorced
1015,45,Human Resources,Lab Technician,No,10546,17,3,3,16,11,Single
1016,51,Research & Development,Lab Technician,No,3077,18,3,3,14,18,Divorced
1017,59,Sales,Software Engineer,Yes,10577,6,2,4,16,23,Divorced
1018,23,Research & Development,HR Manager,No,13813,19,3,3,12,12,Divorced
1019,42,Research & Development,Data Scientist,No,7227,4,2,3,21,6,Single
1020,54,Sales,Lab Technician,No,3600,1,3,3,11,20,Married
1021,33,Sales,Software Engineer,No,4065,8,1,4,15,23,Single
1022,43,Sales,Sales Exec,No,5136,7,2,3,11,13,Married
1023,46,Research & Development,Software Engineer,No,13641,3,3,3,12,20,Married
1024,48,Sales,Sales Exec,Yes,13535,10,4,3,15,16,Divorced
1025,49,Sales,HR Manager,No,13055,10,3,3,14,18,Married
1026,37,Human Resources,Data Scientist,No,12510,19,4,4,17,10,Single
1027,36,Sales,Software Engineer,No,14789,14,4,3,18,28,Single
1028,24,Sales,Lab Technician,No,9943,2,1,3,20,23,Married
1029,58,Research & Development,HR Manager,No,14954,1,2,4,12,8,Divorced
1030,28,Research & Development,Software Engineer,No,10804,18,3,4,21,18,Divorced
1031,42,Human Resources,Lab Technician,No,9565,7,1,3,19,21,Single
1032,30,Human Resources,Software Engineer,No,8984,8,3,4,12,1,Divorced
1033,39,Research & Development,Sales Exec,No,8142,1,4,3,12,23,Married
1034,25,Research & Development,Software Engineer,Yes,7670,3,2,3,22,8,Married
1035,46,Research & Development,Software Engineer,Yes,5190,8,3,3,22,29,Single
1036,35,Research & Development,Software Engineer,No,12184,15,3,3,15,6,Married
1037,30,Human Resources,HR Manager,No,5712,5,4,3,24,5,Single
1038,47,Research & Development,Software Engineer,No,5192,3,3,4,24,15,Married
1039,23,Research & Development,Lab Technician,No,4248,19,3,4,10,22,Single
1040,41,Research & Development,Sales Exec,Yes,14246,1,4,3,16,15,Divorced
1041,49,Research & Development,Sales Exec,Yes,7033,15,1,4,21,2,Married
